"Site","Treatment","Plot_number","Percent_canopy_cover","Year"
"LLFS","C",3,0,"2"
"LLFS","C",3,0.159999999999997,"3"
"LLFS","C",3,13.16,"3"
"LLFS","C",3,19.92,"3"
"LLFS","C",3,0.159999999999997,"3"
"LLFS","C",3,4.31999999999999,"3"
"LLFS","C",3,10.56,"3"
"LLFS","C",4,1.3,"2"
"LLFS","C",4,3.6,"2"
"LLFS","C",4,9.9,"2"
"LLFS","C",4,1,"2"
"LLFS","C",4,57.62,"3"
"LLFS","C",4,3.02,"3"
"LLFS","C",4,23.3,"3"
"LLFS","C",4,28.76,"3"
"LLFS","C",4,22.52,"3"
"LLFS","C",4,10.04,"3"
"LLFS","C",5,0.8,"2"
"LLFS","C",5,0.5,"2"
"LLFS","C",5,2.6,"2"
"LLFS","C",5,8.1,"2"
"LLFS","C",5,13.94,"3"
"LLFS","C",5,9.78,"3"
"LLFS","C",5,27.2,"3"
"LLFS","C",5,38.9,"3"
"LLFS","C",5,25.64,"3"
"LLFS","C",5,27.2,"3"
"LLFS","C",6,0,"2"
"LLFS","C",6,11.4,"2"
"LLFS","C",6,14.8,"2"
"LLFS","C",6,4.2,"2"
"LLFS","C",6,42.54,"3"
"LLFS","C",6,30.06,"3"
"LLFS","C",6,81.02,"3"
"LLFS","C",6,68.28,"3"
"LLFS","C",6,50.86,"3"
"LLFS","C",6,81.28,"3"
